application_id,submitted_time,reviewed_time,approved_time,rejected_time,processing_steps,flagged_for_fraud,monthly_income,monthly_costs,requested_amount,monthly_debt
APP-0057,2025-07-27T09:00:00,2025-07-27T09:14:00,,2025-07-27T10:00:00,"{'KYC': 64, 'CreditCheck': 77, 'FinalApproval': 58}",False,6546,3664,50918,198
APP-0058,2025-07-28T09:00:00,2025-07-28T09:13:00,2025-07-28T09:54:00,,"{'KYC': 51, 'CreditCheck': 25, 'FinalApproval': 68}",False,8091,2159,37211,944
APP-0059,2025-07-29T09:00:00,2025-07-29T09:48:00,,2025-07-29T10:28:00,"{'KYC': 52, 'CreditCheck': 40, 'FinalApproval': 75}",False,4266,3246,34539,250
APP-0060,2025-07-30T09:00:00,2025-07-30T09:16:00,,2025-07-30T10:01:00,"{'KYC': 22, 'CreditCheck': 25, 'FinalApproval': 71}",True,6205,4124,6546,346
APP-0061,2025-07-31T09:00:00,2025-07-31T09:40:00,,2025-07-31T10:04:00,"{'KYC': 48, 'CreditCheck': 72, 'FinalApproval': 17}",True,8765,1706,10572,798
APP-0062,2025-08-01T09:00:00,2025-08-01T09:46:00,,2025-08-01T10:42:00,"{'KYC': 75, 'CreditCheck': 69, 'FinalApproval': 25}",False,7869,2065,46698,210
APP-0063,2025-08-02T09:00:00,2025-08-02T09:21:00,,2025-08-02T10:01:00,"{'KYC': 22, 'CreditCheck': 90, 'FinalApproval': 30}",False,7799,3733,36886,536
APP-0064,2025-08-03T09:00:00,2025-08-03T09:42:00,2025-08-03T10:27:00,,"{'KYC': 14, 'CreditCheck': 65, 'FinalApproval': 69}",False,3229,4137,21478,532
APP-0065,2025-08-04T09:00:00,2025-08-04T09:39:00,2025-08-04T10:23:00,,"{'KYC': 47, 'CreditCheck': 59, 'FinalApproval': 46}",False,3020,1493,19449,650
APP-0066,2025-08-05T09:00:00,2025-08-05T09:25:00,2025-08-05T10:24:00,,"{'KYC': 42, 'CreditCheck': 66, 'FinalApproval': 90}",False,6045,1857,44069,781
APP-0067,2025-08-06T09:00:00,2025-08-06T09:34:00,2025-08-06T10:12:00,,"{'KYC': 87, 'CreditCheck': 67, 'FinalApproval': 52}",False,4987,1200,49193,1087
APP-0068,2025-08-07T09:00:00,2025-08-07T09:59:00,2025-08-07T10:32:00,,"{'KYC': 82, 'CreditCheck': 17, 'FinalApproval': 22}",False,7689,3351,43191,936
APP-0069,2025-08-08T09:00:00,2025-08-08T09:33:00,,2025-08-08T10:30:00,"{'KYC': 75, 'CreditCheck': 13, 'FinalApproval': 56}",False,2974,4348,7908,1079
APP-0070,2025-08-09T09:00:00,2025-08-09T09:51:00,,2025-08-09T10:47:00,"{'KYC': 61, 'CreditCheck': 27, 'FinalApproval': 54}",False,2924,3247,5119,260
APP-0071,2025-08-10T09:00:00,2025-08-10T09:40:00,2025-08-10T10:14:00,,"{'KYC': 48, 'CreditCheck': 42, 'FinalApproval': 29}",False,4052,1472,41424,1467
APP-0072,2025-08-11T09:00:00,2025-08-11T09:48:00,,2025-08-11T10:47:00,"{'KYC': 74, 'CreditCheck': 68, 'FinalApproval': 39}",True,6715,2031,15742,350
APP-0073,2025-08-12T09:00:00,2025-08-12T09:37:00,2025-08-12T10:07:00,,"{'KYC': 18, 'CreditCheck': 75, 'FinalApproval': 51}",True,3480,1622,15395,108
APP-0074,2025-08-13T09:00:00,2025-08-13T09:53:00,,2025-08-13T10:46:00,"{'KYC': 37, 'CreditCheck': 15, 'FinalApproval': 89}",False,4918,3612,59835,383
APP-0075,2025-08-14T09:00:00,2025-08-14T09:34:00,2025-08-14T10:04:00,,"{'KYC': 37, 'CreditCheck': 84, 'FinalApproval': 26}",True,8003,3107,46360,295
APP-0076,2025-08-15T09:00:00,2025-08-15T09:27:00,2025-08-15T10:16:00,,"{'KYC': 19, 'CreditCheck': 68, 'FinalApproval': 84}",False,2800,1320,43763,1494
APP-0077,2025-08-16T09:00:00,2025-08-16T09:37:00,2025-08-16T10:15:00,,"{'KYC': 24, 'CreditCheck': 20, 'FinalApproval': 45}",False,4279,3733,26434,1109
APP-0078,2025-08-17T09:00:00,2025-08-17T09:50:00,2025-08-17T10:29:00,,"{'KYC': 68, 'CreditCheck': 50, 'FinalApproval': 17}",False,5158,3993,19713,1102
APP-0079,2025-08-18T09:00:00,2025-08-18T09:19:00,2025-08-18T10:03:00,,"{'KYC': 16, 'CreditCheck': 15, 'FinalApproval': 20}",True,3207,2295,23368,605
APP-0080,2025-08-19T09:00:00,2025-08-19T09:47:00,,2025-08-19T10:43:00,"{'KYC': 27, 'CreditCheck': 58, 'FinalApproval': 60}",True,2877,1391,45015,339
APP-0081,2025-08-20T09:00:00,2025-08-20T09:47:00,2025-08-20T10:21:00,,"{'KYC': 70, 'CreditCheck': 24, 'FinalApproval': 70}",False,2708,4284,32332,722
APP-0082,2025-08-21T09:00:00,2025-08-21T09:12:00,2025-08-21T09:45:00,,"{'KYC': 29, 'CreditCheck': 25, 'FinalApproval': 23}",False,3009,3450,50606,358
APP-0083,2025-08-22T09:00:00,2025-08-22T09:10:00,2025-08-22T10:01:00,,"{'KYC': 20, 'CreditCheck': 82, 'FinalApproval': 21}",False,7685,3172,9848,426
APP-0084,2025-08-23T09:00:00,2025-08-23T09:21:00,2025-08-23T10:07:00,,"{'KYC': 34, 'CreditCheck': 46, 'FinalApproval': 50}",False,6509,1874,16500,609
APP-0085,2025-08-24T09:00:00,2025-08-24T09:44:00,2025-08-24T10:44:00,,"{'KYC': 44, 'CreditCheck': 84, 'FinalApproval': 29}",False,3761,2204,41876,782
APP-0086,2025-08-25T09:00:00,2025-08-25T09:15:00,,2025-08-25T09:50:00,"{'KYC': 71, 'CreditCheck': 56, 'FinalApproval': 22}",False,5389,4497,55699,987
APP-0087,2025-08-26T09:00:00,2025-08-26T09:38:00,,2025-08-26T10:00:00,"{'KYC': 73, 'CreditCheck': 88, 'FinalApproval': 48}",False,6400,2048,23137,994
APP-0088,2025-08-27T09:00:00,2025-08-27T09:20:00,,2025-08-27T10:11:00,"{'KYC': 34, 'CreditCheck': 66, 'FinalApproval': 49}",False,6015,2144,18238,170
APP-0089,2025-08-28T09:00:00,2025-08-28T09:30:00,,2025-08-28T10:03:00,"{'KYC': 26, 'CreditCheck': 10, 'FinalApproval': 40}",True,6606,3122,26540,1009
APP-0090,2025-08-29T09:00:00,2025-08-29T09:57:00,,2025-08-29T10:24:00,"{'KYC': 44, 'CreditCheck': 88, 'FinalApproval': 57}",False,8315,1561,53452,391
APP-0091,2025-08-30T09:00:00,2025-08-30T09:16:00,,2025-08-30T10:13:00,"{'KYC': 61, 'CreditCheck': 56, 'FinalApproval': 53}",False,3092,2170,48015,1090
APP-0092,2025-08-31T09:00:00,2025-08-31T09:29:00,,2025-08-31T10:03:00,"{'KYC': 59, 'CreditCheck': 17, 'FinalApproval': 48}",False,4593,3139,29024,569
APP-0093,2025-09-01T09:00:00,2025-09-01T09:31:00,2025-09-01T09:52:00,,"{'KYC': 74, 'CreditCheck': 67, 'FinalApproval': 39}",False,7712,3877,45290,573
APP-0094,2025-09-02T09:00:00,2025-09-02T09:10:00,2025-09-02T09:34:00,,"{'KYC': 80, 'CreditCheck': 25, 'FinalApproval': 67}",False,2762,3611,55845,829
APP-0095,2025-09-03T09:00:00,2025-09-03T09:18:00,2025-09-03T09:46:00,,"{'KYC': 86, 'CreditCheck': 60, 'FinalApproval': 33}",True,8499,4022,20933,937
APP-0096,2025-09-04T09:00:00,2025-09-04T09:52:00,2025-09-04T10:13:00,,"{'KYC': 33, 'CreditCheck': 67, 'FinalApproval': 81}",True,6642,1871,38590,1461
APP-0097,2025-09-05T09:00:00,2025-09-05T09:23:00,,2025-09-05T10:15:00,"{'KYC': 70, 'CreditCheck': 76, 'FinalApproval': 41}",False,3840,3748,36347,708
APP-0098,2025-09-06T09:00:00,2025-09-06T09:24:00,2025-09-06T10:21:00,,"{'KYC': 46, 'CreditCheck': 27, 'FinalApproval': 90}",True,7256,3002,36566,527
APP-0099,2025-09-07T09:00:00,2025-09-07T09:54:00,,2025-09-07T10:37:00,"{'KYC': 35, 'CreditCheck': 25, 'FinalApproval': 37}",True,8480,2932,11463,1114
APP-0100,2025-09-08T09:00:00,2025-09-08T10:00:00,,2025-09-08T10:41:00,"{'KYC': 85, 'CreditCheck': 17, 'FinalApproval': 74}",True,7090,2621,37194,1098
