application_id,submitted_time,reviewed_time,approved_time,rejected_time,processing_steps,flagged_for_fraud
APP-0027,2025-06-27T09:00:00,2025-06-27T09:34:00,,2025-06-27T09:59:00,"{'KYC': 23, 'CreditCheck': 68, 'FinalApproval': 25}",False
APP-0028,2025-06-28T09:00:00,2025-06-28T09:14:00,,2025-06-28T10:06:00,"{'KYC': 47, 'CreditCheck': 46, 'FinalApproval': 58}",True
APP-0029,2025-06-29T09:00:00,2025-06-29T09:51:00,2025-06-29T10:24:00,,"{'KYC': 53, 'CreditCheck': 33, 'FinalApproval': 78}",True
APP-0030,2025-06-30T09:00:00,2025-06-30T09:12:00,,2025-06-30T09:58:00,"{'KYC': 87, 'CreditCheck': 12, 'FinalApproval': 50}",False
APP-0031,2025-07-01T09:00:00,2025-07-01T09:22:00,,2025-07-01T09:48:00,"{'KYC': 78, 'CreditCheck': 56, 'FinalApproval': 27}",False
APP-0032,2025-07-02T09:00:00,2025-07-02T09:31:00,,2025-07-02T10:02:00,"{'KYC': 10, 'CreditCheck': 84, 'FinalApproval': 75}",False
APP-0033,2025-07-03T09:00:00,2025-07-03T09:48:00,2025-07-03T10:14:00,,"{'KYC': 47, 'CreditCheck': 69, 'FinalApproval': 33}",True
APP-0034,2025-07-04T09:00:00,2025-07-04T09:24:00,,2025-07-04T10:00:00,"{'KYC': 34, 'CreditCheck': 21, 'FinalApproval': 54}",False
APP-0035,2025-07-05T09:00:00,2025-07-05T09:14:00,,2025-07-05T10:04:00,"{'KYC': 54, 'CreditCheck': 71, 'FinalApproval': 80}",False
APP-0036,2025-07-06T09:00:00,2025-07-06T09:23:00,2025-07-06T09:50:00,,"{'KYC': 79, 'CreditCheck': 47, 'FinalApproval': 67}",True
APP-0037,2025-07-07T09:00:00,2025-07-07T09:29:00,2025-07-07T10:16:00,,"{'KYC': 76, 'CreditCheck': 11, 'FinalApproval': 82}",False
APP-0038,2025-07-08T09:00:00,2025-07-08T09:47:00,,2025-07-08T10:34:00,"{'KYC': 75, 'CreditCheck': 46, 'FinalApproval': 64}",True
APP-0039,2025-07-09T09:00:00,2025-07-09T09:34:00,2025-07-09T10:32:00,,"{'KYC': 62, 'CreditCheck': 35, 'FinalApproval': 77}",True
APP-0040,2025-07-10T09:00:00,2025-07-10T09:38:00,2025-07-10T10:38:00,,"{'KYC': 42, 'CreditCheck': 86, 'FinalApproval': 83}",True
APP-0041,2025-07-11T09:00:00,2025-07-11T09:28:00,2025-07-11T10:14:00,,"{'KYC': 13, 'CreditCheck': 54, 'FinalApproval': 73}",False
APP-0042,2025-07-12T09:00:00,2025-07-12T09:35:00,2025-07-12T10:18:00,,"{'KYC': 65, 'CreditCheck': 40, 'FinalApproval': 12}",False
APP-0043,2025-07-13T09:00:00,2025-07-13T09:44:00,,2025-07-13T10:34:00,"{'KYC': 43, 'CreditCheck': 43, 'FinalApproval': 40}",False
APP-0044,2025-07-14T09:00:00,2025-07-14T09:50:00,2025-07-14T10:35:00,,"{'KYC': 36, 'CreditCheck': 54, 'FinalApproval': 60}",True
APP-0045,2025-07-15T09:00:00,2025-07-15T09:21:00,,2025-07-15T10:11:00,"{'KYC': 20, 'CreditCheck': 36, 'FinalApproval': 73}",True
APP-0046,2025-07-16T09:00:00,2025-07-16T09:59:00,,2025-07-16T10:19:00,"{'KYC': 90, 'CreditCheck': 16, 'FinalApproval': 38}",False
APP-0047,2025-07-17T09:00:00,2025-07-17T09:46:00,2025-07-17T10:30:00,,"{'KYC': 16, 'CreditCheck': 41, 'FinalApproval': 23}",False
APP-0048,2025-07-18T09:00:00,2025-07-18T09:34:00,2025-07-18T09:59:00,,"{'KYC': 52, 'CreditCheck': 78, 'FinalApproval': 23}",False
APP-0049,2025-07-19T09:00:00,2025-07-19T09:17:00,,2025-07-19T09:38:00,"{'KYC': 36, 'CreditCheck': 76, 'FinalApproval': 25}",False
APP-0050,2025-07-20T09:00:00,2025-07-20T09:14:00,,2025-07-20T10:09:00,"{'KYC': 51, 'CreditCheck': 90, 'FinalApproval': 14}",True
APP-0051,2025-07-21T09:00:00,2025-07-21T09:54:00,,2025-07-21T10:21:00,"{'KYC': 67, 'CreditCheck': 29, 'FinalApproval': 38}",False
APP-0052,2025-07-22T09:00:00,2025-07-22T09:17:00,2025-07-22T09:53:00,,"{'KYC': 68, 'CreditCheck': 87, 'FinalApproval': 75}",True
APP-0053,2025-07-23T09:00:00,2025-07-23T09:23:00,2025-07-23T09:53:00,,"{'KYC': 34, 'CreditCheck': 38, 'FinalApproval': 80}",False
APP-0054,2025-07-24T09:00:00,2025-07-24T09:14:00,2025-07-24T09:55:00,,"{'KYC': 90, 'CreditCheck': 73, 'FinalApproval': 70}",False
APP-0055,2025-07-25T09:00:00,2025-07-25T09:46:00,2025-07-25T10:14:00,,"{'KYC': 77, 'CreditCheck': 16, 'FinalApproval': 26}",False
APP-0056,2025-07-26T09:00:00,2025-07-26T09:30:00,,2025-07-26T09:59:00,"{'KYC': 46, 'CreditCheck': 58, 'FinalApproval': 37}",False
APP-0057,2025-07-27T09:00:00,2025-07-27T09:14:00,,2025-07-27T10:00:00,"{'KYC': 64, 'CreditCheck': 77, 'FinalApproval': 58}",False
APP-0058,2025-07-28T09:00:00,2025-07-28T09:13:00,2025-07-28T09:54:00,,"{'KYC': 51, 'CreditCheck': 25, 'FinalApproval': 68}",False
APP-0059,2025-07-29T09:00:00,2025-07-29T09:48:00,,2025-07-29T10:28:00,"{'KYC': 52, 'CreditCheck': 40, 'FinalApproval': 75}",False
APP-0060,2025-07-30T09:00:00,2025-07-30T09:16:00,,2025-07-30T10:01:00,"{'KYC': 22, 'CreditCheck': 25, 'FinalApproval': 71}",True
APP-0061,2025-07-31T09:00:00,2025-07-31T09:40:00,,2025-07-31T10:04:00,"{'KYC': 48, 'CreditCheck': 72, 'FinalApproval': 17}",True
APP-0062,2025-08-01T09:00:00,2025-08-01T09:46:00,,2025-08-01T10:42:00,"{'KYC': 75, 'CreditCheck': 69, 'FinalApproval': 25}",False
APP-0063,2025-08-02T09:00:00,2025-08-02T09:21:00,,2025-08-02T10:01:00,"{'KYC': 22, 'CreditCheck': 90, 'FinalApproval': 30}",False
APP-0064,2025-08-03T09:00:00,2025-08-03T09:42:00,2025-08-03T10:27:00,,"{'KYC': 14, 'CreditCheck': 65, 'FinalApproval': 69}",False
APP-0065,2025-08-04T09:00:00,2025-08-04T09:39:00,2025-08-04T10:23:00,,"{'KYC': 47, 'CreditCheck': 59, 'FinalApproval': 46}",False
APP-0066,2025-08-05T09:00:00,2025-08-05T09:25:00,2025-08-05T10:24:00,,"{'KYC': 42, 'CreditCheck': 66, 'FinalApproval': 90}",False
APP-0067,2025-08-06T09:00:00,2025-08-06T09:34:00,2025-08-06T10:12:00,,"{'KYC': 87, 'CreditCheck': 67, 'FinalApproval': 52}",False
APP-0068,2025-08-07T09:00:00,2025-08-07T09:59:00,2025-08-07T10:32:00,,"{'KYC': 82, 'CreditCheck': 17, 'FinalApproval': 22}",False
APP-0069,2025-08-08T09:00:00,2025-08-08T09:33:00,,2025-08-08T10:30:00,"{'KYC': 75, 'CreditCheck': 13, 'FinalApproval': 56}",False
APP-0070,2025-08-09T09:00:00,2025-08-09T09:51:00,,2025-08-09T10:47:00,"{'KYC': 61, 'CreditCheck': 27, 'FinalApproval': 54}",False
APP-0071,2025-08-10T09:00:00,2025-08-10T09:40:00,2025-08-10T10:14:00,,"{'KYC': 48, 'CreditCheck': 42, 'FinalApproval': 29}",False
APP-0072,2025-08-11T09:00:00,2025-08-11T09:48:00,,2025-08-11T10:47:00,"{'KYC': 74, 'CreditCheck': 68, 'FinalApproval': 39}",True
APP-0073,2025-08-12T09:00:00,2025-08-12T09:37:00,2025-08-12T10:07:00,,"{'KYC': 18, 'CreditCheck': 75, 'FinalApproval': 51}",True
APP-0074,2025-08-13T09:00:00,2025-08-13T09:53:00,,2025-08-13T10:46:00,"{'KYC': 37, 'CreditCheck': 15, 'FinalApproval': 89}",False
APP-0075,2025-08-14T09:00:00,2025-08-14T09:34:00,2025-08-14T10:04:00,,"{'KYC': 37, 'CreditCheck': 84, 'FinalApproval': 26}",True
APP-0076,2025-08-15T09:00:00,2025-08-15T09:27:00,2025-08-15T10:16:00,,"{'KYC': 19, 'CreditCheck': 68, 'FinalApproval': 84}",False
APP-0077,2025-08-16T09:00:00,2025-08-16T09:37:00,2025-08-16T10:15:00,,"{'KYC': 24, 'CreditCheck': 20, 'FinalApproval': 45}",False
APP-0078,2025-08-17T09:00:00,2025-08-17T09:50:00,2025-08-17T10:29:00,,"{'KYC': 68, 'CreditCheck': 50, 'FinalApproval': 17}",False
APP-0079,2025-08-18T09:00:00,2025-08-18T09:19:00,2025-08-18T10:03:00,,"{'KYC': 16, 'CreditCheck': 15, 'FinalApproval': 20}",True
APP-0080,2025-08-19T09:00:00,2025-08-19T09:47:00,,2025-08-19T10:43:00,"{'KYC': 27, 'CreditCheck': 58, 'FinalApproval': 60}",True
APP-0081,2025-08-20T09:00:00,2025-08-20T09:47:00,2025-08-20T10:21:00,,"{'KYC': 70, 'CreditCheck': 24, 'FinalApproval': 70}",False
APP-0082,2025-08-21T09:00:00,2025-08-21T09:12:00,2025-08-21T09:45:00,,"{'KYC': 29, 'CreditCheck': 25, 'FinalApproval': 23}",False
APP-0083,2025-08-22T09:00:00,2025-08-22T09:10:00,2025-08-22T10:01:00,,"{'KYC': 20, 'CreditCheck': 82, 'FinalApproval': 21}",False
APP-0084,2025-08-23T09:00:00,2025-08-23T09:21:00,2025-08-23T10:07:00,,"{'KYC': 34, 'CreditCheck': 46, 'FinalApproval': 50}",False
APP-0085,2025-08-24T09:00:00,2025-08-24T09:44:00,2025-08-24T10:44:00,,"{'KYC': 44, 'CreditCheck': 84, 'FinalApproval': 29}",False
APP-0086,2025-08-25T09:00:00,2025-08-25T09:15:00,,2025-08-25T09:50:00,"{'KYC': 71, 'CreditCheck': 56, 'FinalApproval': 22}",False
APP-0087,2025-08-26T09:00:00,2025-08-26T09:38:00,,2025-08-26T10:00:00,"{'KYC': 73, 'CreditCheck': 88, 'FinalApproval': 48}",False
APP-0088,2025-08-27T09:00:00,2025-08-27T09:20:00,,2025-08-27T10:11:00,"{'KYC': 34, 'CreditCheck': 66, 'FinalApproval': 49}",False
APP-0089,2025-08-28T09:00:00,2025-08-28T09:30:00,,2025-08-28T10:03:00,"{'KYC': 26, 'CreditCheck': 10, 'FinalApproval': 40}",True
APP-0090,2025-08-29T09:00:00,2025-08-29T09:57:00,,2025-08-29T10:24:00,"{'KYC': 44, 'CreditCheck': 88, 'FinalApproval': 57}",False
APP-0091,2025-08-30T09:00:00,2025-08-30T09:16:00,,2025-08-30T10:13:00,"{'KYC': 61, 'CreditCheck': 56, 'FinalApproval': 53}",False
APP-0092,2025-08-31T09:00:00,2025-08-31T09:29:00,,2025-08-31T10:03:00,"{'KYC': 59, 'CreditCheck': 17, 'FinalApproval': 48}",False
APP-0093,2025-09-01T09:00:00,2025-09-01T09:31:00,2025-09-01T09:52:00,,"{'KYC': 74, 'CreditCheck': 67, 'FinalApproval': 39}",False
APP-0094,2025-09-02T09:00:00,2025-09-02T09:10:00,2025-09-02T09:34:00,,"{'KYC': 80, 'CreditCheck': 25, 'FinalApproval': 67}",False
APP-0095,2025-09-03T09:00:00,2025-09-03T09:18:00,2025-09-03T09:46:00,,"{'KYC': 86, 'CreditCheck': 60, 'FinalApproval': 33}",True
APP-0096,2025-09-04T09:00:00,2025-09-04T09:52:00,2025-09-04T10:13:00,,"{'KYC': 33, 'CreditCheck': 67, 'FinalApproval': 81}",True
APP-0097,2025-09-05T09:00:00,2025-09-05T09:23:00,,2025-09-05T10:15:00,"{'KYC': 70, 'CreditCheck': 76, 'FinalApproval': 41}",False
APP-0098,2025-09-06T09:00:00,2025-09-06T09:24:00,2025-09-06T10:21:00,,"{'KYC': 46, 'CreditCheck': 27, 'FinalApproval': 90}",True
APP-0099,2025-09-07T09:00:00,2025-09-07T09:54:00,,2025-09-07T10:37:00,"{'KYC': 35, 'CreditCheck': 25, 'FinalApproval': 37}",True
APP-0100,2025-09-08T09:00:00,2025-09-08T10:00:00,,2025-09-08T10:41:00,"{'KYC': 85, 'CreditCheck': 17, 'FinalApproval': 74}",True
